id,product_id,year,month,beginning_inventory_kg,ending_inventory_kg,market_price_per_kg,kilos_sold,total_monthly_sale,seasonal_demand_pattern,promotional_activity
1,1,2023,1,400,110,50,290,14500,0,1
2,2,2023,1,500,5,50,495,24750,0,1
3,1,2023,2,510,90,50,420,21000,0,0
4,2,2023,2,505,35,50,470,23500,0,0
5,1,2023,3,490,0,50,490,24500,0,0
6,2,2023,3,685,5,50,680,34000,0,0
7,1,2023,4,400,110,51,290,14790,0,0
8,2,2023,4,705,10,51,695,35445,0,0
9,1,2023,5,510,235,51,275,14025,0,0
10,2,2023,5,710,115,51,595,30345,0,0
11,1,2023,6,635,325,50,310,15500,0,0
12,2,2023,6,815,235,50,580,29000,0,0
13,1,2023,7,725,155,51,570,29070,0,0
14,2,2023,7,735,45,50,690,34500,0,0
15,1,2023,8,555,175,50,380,19000,0,0
16,2,2023,8,745,290,51,455,23205,0,0
17,1,2023,9,575,200,51,375,19125,1,0
18,2,2023,9,990,215,50,775,38750,1,0
19,1,2023,10,600,195,50,405,20250,1,0
20,2,2023,10,915,220,50,695,34750,1,0
21,1,2023,11,595,25,50,570,28500,1,0
22,2,2023,11,920,75,50,845,42250,1,0
23,1,2023,12,625,35,50,590,29500,0,1
24,2,2023,12,775,35,51,740,37740,0,1
25,1,2024,1,535,130,51,405,20655,0,1
26,2,2024,1,785,50,50,735,36750,0,1
27,1,2024,2,530,5,51,525,26775,0,0
28,2,2024,2,750,250,52,500,26000,0,0
29,1,2024,3,505,130,51,375,19125,0,0
30,2,2024,3,750,295,52,455,23660,0,0
31,1,2024,4,630,135,52,495,25740,0,0
32,2,2024,4,795,225,52,570,29640,0,0
33,1,2024,5,635,230,52,405,21060,0,0
34,2,2024,5,725,245,52,480,24960,0,0
35,1,2024,6,630,265,52,365,18980,0,0
36,2,2024,6,745,170,54,575,31050,0,0
37,1,2024,7,665,360,51,305,15555,0,0
38,2,2024,7,670,50,53,620,32860,0,0
39,1,2024,8,760,260,52,500,26000,0,0
40,2,2024,8,850,15,54,835,45090,0,0
41,1,2024,9,660,95,51,565,28815,1,0
42,2,2024,9,815,140,55,675,37125,1,0
43,1,2024,10,495,160,50,335,16750,1,0
44,2,2024,10,740,135,55,605,33275,1,0
45,1,2024,11,560,230,50,330,16500,1,0
46,2,2024,11,835,35,54,800,43200,1,0
47,1,2024,12,630,80,50,550,27500,0,1
48,2,2024,12,735,75,53,660,34980,0,1
49,1,2025,1,580,70,52,510,26520,0,1
50,2,2025,1,775,265,53,510,27030,0,1
51,1,2025,2,500,15,52,485,25220,0,0
52,2,2025,2,765,280,54,485,26190,0,0
53,1,2025,3,650,35,52,615,31980,0,0
54,2,2025,3,780,165,54,615,33210,0,0
55,1,2025,4,713,170,53,538,28423,0,0
55,2,2025,4,694,152,53,541,28676,0,0
55,1,2025,5,754,193,53,546,28947,0,0
55,2,2025,5,718,156,53,559,29680,0,0
55,1,2025,6,740,166,53,568,30082,0,0
55,2,2025,6,726,165,53,560,29777,0,0
55,1,2025,7,753,183,53,557,29551,0,0
55,2,2025,7,754,184,53,558,29602,0,0
